BookTitle, OptTag,
the master and margarita,
the heart of a dog,
cat's cradle, *,
the haunting of hill house,
the thing around your neck, ^^[Ruth],
lords and ladies, *,
the fifth elephant, *,
the tent (Atwood), ^^,
an artist of the floating world, *,
weapons of math destruction, o,
monstrous regiment, *,
excession, *,
shiver (junji ito),
to say nothing of the dog,
rendezvous with Rama,
the scar,
conversations with friends, [Harriet],
Goodbye to Berlin,
diaspora, *,
persuasion, *,
Fluent forever, o,
nights at the circus,
black snow,
Station Eleven,
the last days of new Paris,
breakfast of champions, *,
wise children,
the tommyknockers,
the canterville ghost,
city of illusions,
the Victorian chaise-lounge,
the diary of a provincial lady,
in other lands, *,
I am legend,
city of brass,
all quiet on the Western front,
