BookTitle,OptTag,
The First Fifteen Lives of Harry August,(R),
The Dispossessed,
Hexwood,*,
The Gunseller,(J),
Feynman,(J),
A heartbreaking work of staggering  genius,
The Yellow Wallpaper,*,
The Devil in The White City,(Z),
Angels in America: Part one,
Catch-22,*,
Monstrous Regiment,*,
Shades of Grey,*,
Jane Eyre,,
Lord Arthur Savile's crime and other stories,^^,
The Great Gatsby,*,
The Miniaturist,(C),
"Will you please be quiet, please?",^^(H),
Excession,,
The Algebraist,(P),
The Left Hand of Darkness,,
The Good Man Jesus and the Scoundrel Christ,(J),
The Unbearable Lightness of Being,(H),
The Buried Giant,,
Cocktail Time,,
Perfume,,
A Room of One's Own,o,
Catch-22,*,
The Left Hand of Darkness,*,
Hannibal,,
The bookseller of Kabul,o,
Castle in the air,,
A Death Foretold,*,
Vintage Murder,,
The Long Dark Teatime of the Soul,,
The Wind's Twelve Quarters,,
Ready Player One,,
Colourless Tsukuru Tazaki,,
The Compass Rose,,
The Dispossessed,*,
Ancillary Justice,,
The Lathe of Heaven,,
Witches Abroad,*,
Ancillary Sword,,
Ancillary Mercy,,
Rocannon's world,,
World of Exile,,
City of Illusions,,
The Player of Games,*,
Ancillary Justice,*,
Twilight Robbery,,
