BookTitle,OptTag,Date
Under the jaguar sun,^^,(01/01/20)
Who's-dead McCarthy,^,(01/01/20)
the dead,^,(06/01/20)
trick mirror,o,(08/01/20)
don't go without me ,l,(13/01/20)
invisible women,o,(16/01/20)
labels and other stories,^^,(19/01/20)
sixteen self sketches GBS,o,(20/01/20)
the long way to a small angry planet, ,(23/02/20)
uncanny valley,o,(27/02/20)
the little prince,*,(29/02/20)
we who are about to..., ,(06/03/30)
for he can creep,^,(08/04/20)
Lurking: how a person became a user,o,(15/04/20)
why we sleep,o[Alex],(19/04/20)
all systems red,*,(20/04/20)
artificial condition,*,(21/04/20)
rouge protocol, ,(21/04/20)
exit strategy, ,(21/04/20)
Gideon the ninth, ,(22/04/20)
network effect, ,(07/05/20)
human animals,$,(12/05/20)
doomsday book, ,(24/05/20)
A Blur in the Corner of Your Eye,^,(24/05/20)
The Thing About Ghost Stories,^,(24/05/20)
You Will Always Have Family: A Triptych,^,(25/05/20)
Programmed Inequality,o,(31/05/29)
IT,*,(01/06/20)
the second shelf 02 ,^^o,(01/06/20)
this being where we live (clondalkin) ,^^o,(02/06/20)
hangman's holiday,^^,(02/06/20)
Union by Tamsyn Muir,^,(09/06/20)
a series of steaks,^,(10/06/20)
Annabel Scheme, ,(11/06/20)
the star diaries,*^^,(12/06/20)
micro odysseys - migrant 5,^^o,(16/06/20)
reworlding ramallah ,^^,(16/06/20)
marcovaldo,^^,(20/06/20)
flowing grounds - migrant 3,^^o,(20/06/20)
voices in the evening, ,(21/06/20)
into the war,^^,(23/06/20)
a song of stone, ,(24/06/20)
"salt, fat, acid, heat",o,(07/07/20)
the shining, ,(15/07/20)
how to cook a wolf,o,(16/07/20)
Annabel Scheme Serial, ,(16/07/20)
to write like a woman,o,(23/07/20)
the monster of elendhaven, ,(28/07/20)
The Haunting of Tram 015, ,(02/08/20)
my father the druid my mother the tree,^,(02/08/20)
silvina ocampo,&,(03/08/20)
feminist theory: from margin to center,o,(03/08/20)
the Raven tower,*,(04/08/20)
mouse or rat,o,(05/08/20)
sister outsider,o,(16/08/20)
Anxiety Is the Dizziness of Freedom,^,(18/08/20)
And Then There Were (N-One),^,(18/08/20)
mister Norris changes trains, ,(28/08/20)
the dispossessed,*,(12/09/20)
the vorrh ,,(14/09/20)
now more than ever ,^,(19/09/20)
in defence of fiction - zadie smith,^o,(19/09/20)
the female man,,(19/09/20)
data justice and covid 19: global perspectives,o,(20/09/20)
a ghost in the throat,,(30/09/20)
flights,,(13/10/20)
the haunting of hill house,*,(17/10/20)
persuasion,*,(19/10/20)
gideon the ninth,*,(03/11/20)
the twisted ones,,(04/11/20)
harrow the ninth,,(04/11/20)
Mike and Psmith,*,(12/11/20)
Psmith in the city,,(14/11/20)
the mysterious study of doctor sex,^,(13/12/20)
the carrier bag theory of fiction,^o,(14/12/20)
flow,^,(21/12/20)
"sun, moon, dust",^,(21/12/20)
variations on your body ,^^,(22/12/20)
 heaven official's blessings,,(24/12/20)
always coming home,,(25/12/20)
