BookTitle,OptTag,
Mort,
Guards! Guards!, *,
Men at arms, *,
Thud, *,
Black Swan Green,
Summer in orcus,
Short stories by ursula Vernon online, ^,
The venus effect by Joseph Allen Hill, ^,
The paper menagerie and other stories by Ken Liu, ^,
Thirteen reasons why,
1984, *,
Provenance,
After Dark,
The bloody chamber, *^,
Kaibyo: the supernatural cats of Japan,
